epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,99482.7,0.3641,0.45682,1.05298,0.99506,0.99352,0.99487,0.9841,0.1836,0.15099,0.81338,0.005743,0.005743,0.005743
45,109143,0.36094,0.43529,1.05078,0.99549,0.99368,0.99489,0.98439,0.18305,0.1506,0.81242,0.005644,0.005644,0.005644
46,118795,0.36304,0.45017,1.05289,0.99496,0.99436,0.99487,0.98458,0.18228,0.14991,0.81141,0.005545,0.005545,0.005545
47,128513,0.36455,0.44497,1.05261,0.9955,0.99453,0.99488,0.98515,0.18148,0.14886,0.81027,0.005446,0.005446,0.005446
48,138794,0.35812,0.43318,1.04972,0.9923,0.99786,0.99489,0.98514,0.1812,0.14847,0.80975,0.005347,0.005347,0.005347
49,148767,0.35664,0.44271,1.04644,0.99278,0.99775,0.99489,0.98503,0.18091,0.14813,0.80918,0.005248,0.005248,0.005248
50,159010,0.36496,0.43945,1.05329,0.99596,0.99456,0.9949,0.9851,0.18048,0.14809,0.80881,0.005149,0.005149,0.005149
51,169099,0.35968,0.43903,1.05338,0.99591,0.9945,0.9949,0.98542,0.17982,0.14763,0.80798,0.00505,0.00505,0.00505
52,241958,0.35052,0.41824,1.04555,0.9958,0.99462,0.9949,0.98551,0.17932,0.14703,0.80731,0.004951,0.004951,0.004951
53,252565,0.35416,0.41625,1.04985,0.99574,0.99481,0.99491,0.98535,0.17909,0.1469,0.80702,0.004852,0.004852,0.004852
54,262775,0.35467,0.43173,1.04615,0.99578,0.99505,0.99491,0.98544,0.17899,0.14672,0.80668,0.004753,0.004753,0.004753
55,272597,0.35871,0.43139,1.05121,0.99583,0.99494,0.99495,0.98597,0.17866,0.14629,0.80619,0.004654,0.004654,0.004654
56,282391,0.35029,0.41759,1.04807,0.99566,0.99524,0.99496,0.98606,0.17809,0.14563,0.80557,0.004555,0.004555,0.004555
57,292204,0.35222,0.41198,1.04796,0.99589,0.99525,0.99496,0.98634,0.17753,0.14529,0.80493,0.004456,0.004456,0.004456
58,12232.3,0.3395,0.39244,1.03998,0.99328,0.99814,0.99496,0.98627,0.17736,0.14525,0.80462,0.004357,0.004357,0.004357
59,22094.3,0.34652,0.39704,1.04622,0.99329,0.99821,0.99496,0.98639,0.17713,0.14489,0.8043,0.004258,0.004258,0.004258
60,31788.2,0.34192,0.39925,1.03935,0.99339,0.99795,0.99495,0.98647,0.17695,0.14468,0.80397,0.004159,0.004159,0.004159
61,41828.1,0.34565,0.39896,1.04499,0.99343,0.9979,0.99495,0.98677,0.17667,0.14436,0.80359,0.00406,0.00406,0.00406
62,51530.9,0.34525,0.40004,1.04123,0.99347,0.99796,0.99495,0.98679,0.17636,0.14408,0.80322,0.003961,0.003961,0.003961
63,60976.1,0.34357,0.38683,1.0431,0.99356,0.99802,0.99495,0.98668,0.17608,0.14356,0.80286,0.003862,0.003862,0.003862
