epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11669.5,2.17496,3.99799,3.07971,0.51095,0.54985,0.46579,0.38095,0.73366,2.02824,1.61342,0.00333272,0.00333272,0.00333272
2,21768.3,0.92747,2.12664,1.54047,0.64263,0.75636,0.75243,0.67217,0.48288,1.09766,1.21879,0.00660006,0.00660006,0.00660006
3,31568.7,0.73368,1.59679,1.32226,0.76001,0.82894,0.83488,0.75257,0.39723,0.77127,1.09225,0.0098014,0.0098014,0.0098014
4,41361.7,0.64343,1.31521,1.23656,0.8788,0.90886,0.94288,0.87655,0.3586,0.512,1.02376,0.009703,0.009703,0.009703
5,51093.9,0.57696,1.13126,1.18302,0.92477,0.93682,0.97408,0.92591,0.30302,0.38997,0.97038,0.009604,0.009604,0.009604
6,60747,0.53599,0.98512,1.15881,0.93853,0.96309,0.98462,0.94295,0.27749,0.33581,0.94086,0.009505,0.009505,0.009505
